Date,Time,Open,High,Low,Close,Volume
2022-1-28,0:0,87647.0,87686.0,86801.0,86869.0,21.0
2022-1-27,0:0,88006.0,88237.0,87000.0,87000.0,53.0
2022-1-26,0:0,88798.0,89523.0,87665.0,88885.0,115.0
2022-1-25,0:0,87001.0,88726.0,87001.0,87466.0,35.0
2022-1-24,0:0,85904.0,88001.0,85904.0,87410.0,62.0
2022-1-21,0:0,86074.0,86074.0,86074.0,86074.0,1.0
2022-1-20,0:0,85326.0,86044.0,85175.0,85846.0,4.0
2022-1-18,0:0,85553.0,86483.0,85553.0,86150.0,29.0
2022-1-17,0:0,85477.0,85514.0,85186.0,85514.0,11.0
2022-1-14,0:0,84564.0,86148.0,84011.0,85500.0,16.0
2022-1-13,0:0,83799.0,85462.0,83799.0,85201.0,16.0
2022-1-12,0:0,83734.0,83776.0,83734.0,83776.0,7.0
2022-1-10,0:0,84001.0,84001.0,84001.0,84001.0,1.0
2022-1-7,0:0,85179.0,85179.0,84221.0,84319.0,9.0
2022-1-6,0:0,85821.0,86800.0,84005.0,85293.0,78.0
2022-1-5,0:0,84100.0,85897.0,84000.0,85853.0,14.0
2022-1-4,0:0,83441.0,83978.0,83302.0,83978.0,13.0
2022-1-3,0:0,83699.0,83799.0,83279.0,83302.0,15.0
2021-12-30,0:0,83470.0,83898.0,83470.0,83599.0,17.0
2021-12-29,0:0,82900.0,82900.0,82900.0,82900.0,1.0
2021-12-28,0:0,82600.0,82847.0,82600.0,82847.0,9.0
2021-12-27,0:0,82778.0,82778.0,82605.0,82605.0,8.0
2021-12-22,0:0,83000.0,83000.0,83000.0,83000.0,1.0
2021-12-21,0:0,83200.0,83200.0,83153.0,83153.0,3.0
2021-12-20,0:0,83500.0,83785.0,83497.0,83497.0,5.0
2021-12-17,0:0,83316.0,83500.0,82782.0,83246.0,15.0
2021-12-16,0:0,83000.0,83154.0,82664.0,83154.0,3.0
2021-12-15,0:0,83500.0,83500.0,83500.0,83500.0,1.0
2021-12-14,0:0,82999.0,82999.0,82702.0,82867.0,6.0
2021-12-13,0:0,82745.0,83375.0,82362.0,82729.0,38.0
2021-12-10,0:0,82325.0,82915.0,82144.0,82911.0,4.0
2021-12-9,0:0,82745.0,82981.0,82397.0,82397.0,5.0
2021-12-8,0:0,82502.0,83410.0,82001.0,82001.0,16.0
2021-12-7,0:0,83140.0,83140.0,82745.0,82745.0,3.0
2021-12-6,0:0,82000.0,83500.0,82000.0,83035.0,9.0
2021-12-3,0:0,82979.0,82988.0,82115.0,82115.0,15.0
